Ctr + Space	Полный автокомплит
Ctr + Shift + Space	Автокомплит с фильтрацией по подходящему типу
Alt + /	Простой автокомплит по словам, встречающимся в проекте
Ctr + I	Реализовать интерфейс
Ctr + O	Переопределить метод родительского класса
Ctr + J	Генерация шаблонного кода (обход по итератору и тд)
Ctr + Alt + J	Обернуть выделенный код в один из шаблонов
Alt + Insert	Генератор кода — сеттеров, зависимостей в pom.xml и тд
Shift + F6	Переименование переменной, класса и тд во всем коде
Ctr + F6	Изменение сигнатуры метода во всем коде
F6	Перемещение метода, класса или пакета
F5	Создать копию класса, файла или каталога
Shift + F5	Создать копию класса в том же пакете
